"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","dSlJg","dSlJg 2","znYl0","znYl0 2","fontBodySmall","fontBodySmall 2","kyuRq"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXdOr-0ex2Lve0q4b3D7kj80Fbi3KuUckrSTx7ALa1UGu-uxZDD=w72-h72-p-rp-mo-ba2-br100","Rizky Dewi Darma Kusuma","Local Guide · 33 reviews · 9 photos","","","5 years ago","The library is organized, neat, and has a fairly complete collection of books. In searching and borrowing books that you want to borrow, it also uses a good system, making it easier.","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjWZdzF3dBhGidzaKJJ6DyVC3k5dR7T4b5PkXnRogHvUuj8fo8of=w72-h72-p-rp-mo-br100","Bonnet Nazari","2 reviews","","","4 years ago","A place where we can study and obtain knowledge according to our skills & the availability of various kinds of books that support our knowledge, both books from within the country and books from abroad... and has been accredited ""A"" by the National Accreditation body","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjVaoiV-ir1gY0C3rThFe7FQofUQhWrn2rwBqcGEfehZ7M8SZJI=w72-h72-p-rp-mo-br100","Ezer Widhi","3 reviews","","","a year ago","On the 5th floor, the self-study room cannot be used. It's free to prepare if it can't be used 😁 …","","","Share","Like","Translated by Google","・","See original (Malay)"
"https://lh3.googleusercontent.com/a-/ALV-UjWuhj7PPYCYRYaNgY9-k5ICE-RGa3moH-m8q0XkAsGL4HA5XLg-=w72-h72-p-rp-mo-ba6-br100","Ari Sabad","Local Guide · 166 reviews · 1,764 photos","","","3 years ago","Protocols during the pandemic are strict, as long as ppkm only serves until 12 o'clock.
Complete library collection, for several fields.
Search for architecture libraries is also here.","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a/ACg8ocKkjI5Ql7F9mtLycZuEKQm_XQt-0ze2hzOo1rY7knwxs9bNrNk=w72-h72-p-rp-mo-ba4-br100","Putra Tambunan","Local Guide · 51 reviews · 274 photos","","","7 years ago","There are still many shortcomings in this library, such as a lack of module books, a lack of computers, and a lack of storage space for items...","","","Share","","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjWhQc3cwZeoPIVOKeGF0DBjj56vAlQJ5A7IiFQj5taTWN_ZClztdg=w72-h72-p-rp-mo-ba5-br100","Johan Novanto","Local Guide · 193 reviews · 1,000 photos","","","6 years ago","Diverse book collection, friendly staff, spacious & clean place","","","Share","","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjUy6BjWN1xTI7jmLIEKauvOyTeVCIfzyB-HKGvhUckPuI47MJo=w72-h72-p-rp-mo-ba4-br100","Yahya Sholahudin","Local Guide · 85 reviews · 419 photos","","","6 years ago","Be cool pokoe
It's a good place for discussions and group work","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjWdbxjcr08Pyi3QjJqRS-VKD54gXTQsQVSIpOOns-Z56n3hPAI=w72-h72-p-rp-mo-ba6-br100","Dian Meitiash","Local Guide · 238 reviews · 1,681 photos","","","7 years ago","A cool place for class assignments or a thesis because the place is quiet 😄 …","","","Share","","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjUkt0WyVlUo3SPHBC9uLZ-rk79w4U_6bZr_YICM5qu0P0AjNSAj3w=w72-h72-p-rp-mo-ba5-br100","Dhe Gombloh (Samsugas441)","Local Guide · 306 reviews · 353 photos","","","2 years ago","Great, the books are quite complete for reference.","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjVfmx_vKZ7ZUWen3m_WRML12hx5x1ynBjZeLp7cx2KXOBmdqOIA=w72-h72-p-rp-mo-ba3-br100","Adela Istanto","Local Guide · 56 reviews · 17 photos","","","3 years ago","Complete collection, comfortable place, friendly staff...","","","Share","","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjWsCOT9pacXh6DXNY7fbcO5hGPnaJKf3Jfc0l72JwhT8MoJZzWb=w72-h72-p-rp-mo-br100","Ade Cahyana","4 reviews · 2 photos","","","6 years ago","Cool, comfortable, clean, neat, complete books 👍 …","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjUVLkCP-pXs5j_BQFi5yCb65qOn2vZu3wUxHAc9UkYAU7N_j78o=w72-h72-p-rp-mo-ba2-br100","c 45","Local Guide · 8 reviews · 3 photos","","","3 years ago","comfortable for reading and searching for material...","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjWPbATatLWijDGjWHtXE_HZ9e-8t98FDsX1qCvaFyiuXK1rH_9T=w72-h72-p-rp-mo-br100","HATALEPU18 ALBUMS","1 review","","","2 years ago","Greetings to the director... Say don't forget to drink coffee, okay?","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjV4zUzDdvBqZj0ZnVnMxA5jRvBO0KIpRO9VGVwhtJIgUoGGj8ma=w72-h72-p-rp-mo-ba3-br100","Hi Hello (MNovaKR)","Local Guide · 14 reviews · 71 photos","","","6 years ago","The place is comfortable for reading. Clean.","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjXoQwwYLlYWdToBLChvUGFJ0zPcvTby4tw86dOghTU-NO2Tjpbeog=w72-h72-p-rp-mo-ba8-br100","Glenn Main-Main","Local Guide · 1,685 reviews · 3,202 photos","","","8 years ago","The books in the UKSW library are complete and interesting","","","Share","","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjUNNbG2W38NUgNkW-YXaExgO6KRmdq4SwmHhfkgYxuiNGA9tpou=w72-h72-p-rp-mo-br100","Agus Sukardi","3 reviews · 6 photos","","","a year ago","Very suitable for reading","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjXkvB3yfUe1R8WSHgxQVz_31uf1-YD0d2EwFJc3ASsnToiZVYTABA=w72-h72-p-rp-mo-ba5-br100","Fia Putri","Local Guide · 214 reviews · 698 photos","","","3 years ago","It's a bit creepy if you're alone, hihiii","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjVBdg8HD06D6uvrqffDLm_T6EnrkX9rb75CFttQVc8LWwdByszo=w72-h72-p-rp-mo-ba6-br100","David Pesudo","Local Guide · 681 reviews · 982 photos","","","3 years ago","Nice place to do final assignments","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjUM0gdI5UoB9JNN6-DcbuYd7gmE82H5ogGDi418anwPbQVAYq0=w72-h72-p-rp-mo-ba5-br100","Kurnia Destrianto","Local Guide · 163 reviews · 335 photos","","","7 years ago","complete collection, clean room","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjWcDNjKgkV3CezViBmcsC3wSJUZvz93Ke33d9v731BVDxYFCAGU=w72-h72-p-rp-mo-ba2-br100","Muhammad Ikhsan","Local Guide · 24 reviews · 2 photos","","","4 years ago","The place is comfortable and cool","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjUSGIHuAnHH9FM2CGIfo4uyrkotY9ixT0q4ncKB5gbbwXdcJv2IPA=w72-h72-p-rp-mo-ba3-br100","ADI SUYANTO","Local Guide · 32 reviews · 66 photos","","","2 years ago","Complete collection","","","Share","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjXsFVWKgdaU64SCgCT5D8mFrdEhNjQH4XtT1jO023u0W4QqDo-s=w72-h72-p-rp-mo-ba3-br100","Erlangga Alfath","Local Guide · 68 reviews · 16 photos","","","2 years ago","Good library","","","Share","","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjVISoDlHO9J06aISDJK9jEUNAGk8ZJ0P_xXD9EIs9NRdrPxRRRy=w72-h72-p-rp-mo-br100","Abdi Dalem","1 review · 9 photos","","","4 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUqejOG1ZQt7_hM5XfdGn-mKMhfTI0ttBZbqkWcFbsGOMOxz-s=w72-h72-p-rp-mo-br100","Heyty Nahuway","1 review · 2 photos","","","6 months ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWht3BPb1xEhSKyaUYz9AQK_46h3C6oV7pEg_i4lun5U-_SVTXNZw=w72-h72-p-rp-mo-ba4-br100","Putra Ludji","Local Guide · 12 reviews · 140 photos","","","6 months ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWoQQ7yjvyRmh8AWQVFBztL9hqYDVv-S4pyrpHdpxNMsrxpT1la=w72-h72-p-rp-mo-ba2-br100","Maera Dwi Putri","Local Guide · 4 reviews · 20 photos","","","a year ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJINU8dmqxPlBBEuIixm0eSHqv0Uv1gnsd3d_Q1844gX8XwSio=w72-h72-p-rp-mo-br100","Vera MDB","6 reviews · 7 photos","","","2 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXi3QdJLCcMtBT1d_W7lDkvQZxiQ0E4ko21ar-IRYTxxls1K8si=w72-h72-p-rp-mo-br100","Eunice Gabrielle Beverly Utusan","","","","2 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVGr1-WGzkKVFn98m7lbV8-be6UzufPe-sNZU_cGwrlpPRUw8U=w72-h72-p-rp-mo-br100","Aprilliana Y. Q. Akihary","","","","2 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWDFhD3IUwa2wUHvqylAEykAQVj3SlojXwxD0zgX5Z397NOu840=w72-h72-p-rp-mo-br100","Elyada Christiawan","1 review · 8 photos","","","2 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXEfuAWQ-PehbPa-fkOHd1zq4Qx3LyHt0gTbSq7kiEbhp3GtFYkWg=w72-h72-p-rp-mo-br100","Songsong Amelia","4 reviews · 5 photos","","","2 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUBSAN1vFo-p6zTClM3AzWAdi0doYQ0kBeyWyfeAhcGcyJq-My5=w72-h72-p-rp-mo-ba3-br100","Jonnie Josua","Local Guide · 28 reviews · 8 photos","","","2 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVBjNUPkCEBYvrNEHreZzAyya0MxEKihT1WKHuPutOybitVlVOyFw=w72-h72-p-rp-mo-br100","Perdi Saibuma","2 reviews · 8 photos","","","2 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVjg3SU3I8RKLoVHRKuR5M3E4TFI02RIsrJG6QGfRnJpadLDkQb=w72-h72-p-rp-mo-br100","Digna Azzalia","2 reviews","","","2 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWBNqRn1fSP3o04iDU6Lijp7dbbGSQ-jAke_lDrqmqTHz3R89Uv=w72-h72-p-rp-mo-ba3-br100","N Christopher","Local Guide · 11 reviews · 2 photos","","","2 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXnwfw1tEghG-8HfervGpME94bK-3cSse3jWj7ESkxzxt8_Ic31xA=w72-h72-p-rp-mo-ba2-br100","Godelva Silvana","Local Guide · 14 reviews · 13 photos","","","2 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWRBzJs859VetysSJPts4Vy_3aCQgvNe9SuydWNLZqzWyvqGzzn=w72-h72-p-rp-mo-br100","Oktoviana Mowata","1 review","","","3 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXn6DiF_ZtuQONwZK5sm16AWPX6W6rtWBFRyr16A0UfiiewbhdIhg=w72-h72-p-rp-mo-br100","Melani Wamaer","","","","3 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXajQa3pt8huG-PWcKznGWeTKOIKCZOxMzvUoInc-3mMjCXk-yu=w72-h72-p-rp-mo-br100","Rudolof Yaroseray","","","","3 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUlJGIx7OBjeCFYNYLhvINBP_fBqj3vwXVXCVTbTfVBz5MWOD_J=w72-h72-p-rp-mo-br100","Ainina Azzahra","6 reviews","","","3 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXoDtoA6Ndg8sJ-8TSxZ8Zqj3q02bpF668sDUC-j4AkFo8G7HUi=w72-h72-p-rp-mo-br100","deni mardiyanto","","","","3 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocLWfLX0ucgd4UT60jqHDNVEQpt7z1J3-OIvdlG_Ut4uo0YjTt0=w72-h72-p-rp-mo-br100","Athalia Eugenia","2 reviews","","","3 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWJWnnDxU2B6dnDdYB0hDPSjcLiQJu-Lb3xhIt43nxcJUPO8UVafQ=w72-h72-p-rp-mo-ba4-br100","Rudiyanto","Local Guide · 34 reviews · 316 photos","","","3 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVMTHctYh_PfbrJVL-g86-yQQ2nfEou5e9IuD4F-DNqg2V-x5W6=w72-h72-p-rp-mo-ba3-br100","Stefanus Anggoro Nikerson","Local Guide · 20 reviews · 10 photos","","","3 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXeXFbBMgkBgpZleVnPrTHCu-BNtVExvZR7KqOh1MBFzKgHLcbYWg=w72-h72-p-rp-mo-br100","Yustina Shintania","14 reviews · 2 photos","","","3 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUtkOBBkqevt1pD7v3Hdcv2rJrNFWxHBUk5cq5pfwXF-MXItVU=w72-h72-p-rp-mo-br100","mr P","2 reviews · 5 photos","","","3 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW_m1FQHMJfjZ4fP12ZxEkUHmED2dkYex9muM1NQCGKxje8gm5h=w72-h72-p-rp-mo-br100","Tiur Madeline Sitompul","1 review · 1 photo","","","3 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWgDTzTV846dW6ND7MyZrQjUrUHrwC9cKVctEdNZo3mm7AGNN-1=w72-h72-p-rp-mo-br100","Kristin S","2 photos","","","3 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUMq3fd4CRYRjCoMasqQfttnegLxNm-BLzO2C5e83wd3J3TLbc=w72-h72-p-rp-mo-br100","Anjar Kurniadi Rahmawan","2 reviews · 3 photos","","","3 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXwUPti7XvjBT2g5JnIE3-ZvOlzjWDJtz9o3F3kMlq1W-HcYCpXNQ=w72-h72-p-rp-mo-ba2-br100","Michael Sheva","Local Guide · 6 reviews · 6 photos","","","3 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXiZmLPkGnyDPyudxo8HIcZBXtLNNgluBtS9mrgcq6d5ugWLbCAnQ=w72-h72-p-rp-mo-br100","Nadine Sahetapy","5 reviews · 3 photos","","","4 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVlsb6HbfDrjE9SdXPrI5epfAtaLn3r9yhls9TS42bS62DjePsW=w72-h72-p-rp-mo-br100","Gabriel Setya Sukma Megawati","1 review","","","4 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVMJEZJHevItXIfIdJcC91dqkYOb6Rx66OMjLwnK9kDzVUO9R8Z=w72-h72-p-rp-mo-br100","Ratna Rhea","","","","4 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUmu_eog923VIe00yUozpOleFxU2pqt3phFLNnb0HbUY6DtibCKjg=w72-h72-p-rp-mo-ba2-br100","setyowibowo","Local Guide","","","4 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUAn2PXLZnnbZVbwHtCgiw2j_fHUbRV6Kzm309lBQd8jdPMn4Ph=w72-h72-p-rp-mo-ba2-br100","Mila Mardiantari","Local Guide · 8 reviews · 18 photos","","","4 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUPCXVAHLqj9FimYhkHFxH3OBVnMTLIQn7Gxzqx5Obpb4ZIRyRU=w72-h72-p-rp-mo-br100","Angella Chrisdiar Astri Kusumastuti","1 review · 1 photo","","","4 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWXUoastqVi46ydytKUBvDIBVBegwi1lp9XX_jQcx63587o2jo=w72-h72-p-rp-mo-br100","Darmanto Darmanto","1 review · 2 photos","","","4 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJk4ThhU7O6teTP_2NrzuTTGGyL9C5XBbEZRtFrFxLam6XJ6w=w72-h72-p-rp-mo-ba2-br100","Daniel Kristiyanto","Local Guide · 6 reviews","","","4 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXhGEpXCQ09Fz_F_TvvmiuWd02hKGwXuafC8grH83HQoe-sVRX_=w72-h72-p-rp-mo-br100","Ramorr","1 review · 1 photo","","","4 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV7rwnb6fHkXjv0Oodtwz6F38Qm_XudoVQrJe6t2gcESU7jLufxtg=w72-h72-p-rp-mo-ba5-br100","Eunike Mila","Local Guide · 662 reviews · 572 photos","","","4 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXTuTWlxZg1iGS-bMEdsYUNQDCszy_EtjC7rPYvHwmFyLbo7__1=w72-h72-p-rp-mo-ba2-br100","Monika Argha","Local Guide · 15 reviews · 17 photos","","","4 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUPdddVmH9aK6qaA8lG-3pmBJnsWB5CMmlKlqpPal3CuUjCbwE=w72-h72-p-rp-mo-br100","Ramunes Mercer","1 review","","","4 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWmv-4AcVNBOrHznV1z-gDVrf7XNEFxGakyb1CQulxi94OgA-6d=w72-h72-p-rp-mo-ba3-br100","anggita “Ita” kristiasari","Local Guide · 65 reviews · 25 photos","","","4 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJskx9YkiUteqZvna7ZerVxE-HnlwVuUH3hxLLfHgt0XVz-QA=w72-h72-p-rp-mo-br100","Markus Sisca","","","","4 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWRvERBVscuY908dnbC6NAZI3aBSVp78hRgdzD-V9LjBbyqc-6l=w72-h72-p-rp-mo-br100","Erick Kurniawan Panginja","1 review · 1 photo","","","4 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVjm7Udc0-RrEELaG9zw6lGIyZGuDPTkKTDOck7pBvBaxyjqsY0=w72-h72-p-rp-mo-ba2-br100","ayu octa","Local Guide · 17 reviews · 5 photos","","","4 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJGaH3isCGC2illY8V3Kz0Qy8hjhwvM5wqT29kR8-F2inwBqw=w72-h72-p-rp-mo-br100","Paryono Suprianto","","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocIElubuaTw3J7RLbZNaCCw_-kcJO1F3AXiwt1SAKz-KOqdWmg=w72-h72-p-rp-mo-ba3-br100","Bagas Lazwar A","Local Guide · 42 reviews · 6 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV5VzjE578CiddvOb_XwZA7eb3cwNcDEcbQyx5QmyKzRSwgLMhd=w72-h72-p-rp-mo-ba6-br100","bayu krisna","Local Guide · 41 reviews · 4,075 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV60ip4uBpgIrl7HPnt4WWqe3Tc5y8yj-jYd3cPvTHl7cUB5qjt0Q=w72-h72-p-rp-mo-br100","rem","5 reviews","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWTxWVLQ5KIN2p1uWs3TSZdmUNtxcgPwzuY5hS89pueWgEsHKg=w72-h72-p-rp-mo-br100","Betty Girsang","","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWn76Et9zyPPwr0o3Qjabm95Mlu_fOomxixNIr5138KqK5tUP8a2A=w72-h72-p-rp-mo-ba6-br100","Daniel Kurniawan","Local Guide · 253 reviews · 2,345 photos","","","5 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWugycc94vnODbU1TI5SGpDD3pti_8smKVy2avwwljlxYkteU8a=w72-h72-p-rp-mo-ba4-br100","Aditya Setyawan","Local Guide · 92 reviews · 43 photos","","","6 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX2xHDahWHLk7BmnHNbI2_ghrXX4fycQJJk9FieNzMQZfYdn2yk=w72-h72-p-rp-mo-ba4-br100","Jordan Paul Agusto Diwi","Local Guide · 11 reviews · 4 photos","","","6 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX7H6-9uO-J8cNanLMPDf73otRGKm3fKy-lQyGNskXmA4XdKL2WBg=w72-h72-p-rp-mo-ba2-br100","Ranti Eklesia","Local Guide · 1 review","","","6 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXIlnQ4ihTi0UM1JfIgJXAw-m0CpoGmFH1Bb6tT-Omf8Wm2Dusb=w72-h72-p-rp-mo-ba2-br100","Octoberiaty Nababan","Local Guide · 20 reviews · 4 photos","","","7 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXzXO89pY-YeMIJa3tW0LbwRk1ccMgdpD9tyUkNowSNo7to2Qpy=w72-h72-p-rp-mo-ba2-br100","Kenny Hendrawan","Local Guide · 12 reviews · 1 photo","","","7 years ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVwUXaDl9yR2gH8-qcG3WnTEaaPyUhBA53ZWs3sXFBa_laeIgA=w72-h72-p-rp-mo-ba3-br100","Elisa Ebo","Local Guide · 23 reviews · 3 photos","","","7 years ago","","","","","","","",""
