Source,Name,Status,Date,Review,Place,cleaned_review,cleaned_review_indo,token,joined_token,label
https://lh3.googleusercontent.com/a-/ALV-UjXgAQKbF4yLCDUb8l65MOG_h0fcA5GTaua7LmbmhfHzz16Qc_fJ=w72-h72-p-rp-mo-br100,Anggun Natalia,4 reviews Â· 2 photos,2 years ago,"Print bank statements for 5 thousand per sheet, very expensive, up to 500 thousand. Can you upgrade BNI for internet banking transfers? Don't just do it for 6 months. So you don't need to be tired of queuing, printing is expensive.",BNI UKSW,print bank statements for thousand per sheet very expensive up to thousand can you upgrade bni for internet banking transfers dont just do it for months so you dont need to be tired of queuing printing is expensive,Cetak Laporan Bank Untuk Ribuan Per Sheet Sangat Mahal Hingga Ribuan Dapatkah Anda Meningkatkan BNI Untuk Transfer Internet Perbankan Jangan Hanya Melakukannya selama Berbulan,"['cetak', 'lapor', 'bank', 'untuk', 'ribu', 'per', 'sheet', 'sangat', 'mahal', 'hingga', 'ribu', 'dapat', 'anda', 'tingkat', 'bni', 'untuk', 'transfer', 'internet', 'perban', 'jangan', 'hanya', 'laku', 'lama', 'bulan']",cetak lapor bank untuk ribu per sheet sangat mahal hingga ribu dapat anda tingkat bni untuk transfer internet perban jangan hanya laku lama bulan,Negative
https://lh3.googleusercontent.com/a-/ALV-UjW4yGGZyKKfN7rHG34xIKzJO4Zp5TFoqQ4yDaZ0ztNi7BlHkSGs=w72-h72-p-rp-mo-br100,Whay,12 reviews Â· 4 photos,3 years ago,"For a national bank, the service is very bad. The quota given is also limited

Isn't it true that international banks only provide 50 quota per day? â¦",BNI UKSW,for a national bank the service is very bad the quota given is also limited isnt it true that international banks only provide quota per day,"Untuk bank nasional, layanan ini sangat buruk, kuota yang diberikan juga terbatas bukankah benar bahwa bank internasional hanya menyediakan kuota per hari","['untuk', 'bank', 'nasional', 'layan', '', 'sangat', 'buruk', 'kuota', '', 'beri', '', 'batas', 'bukankah', 'benar', '', 'bank', 'internasional', '', 'sedia', 'kuota', 'per', 'hari']",untuk bank nasional layan  sangat buruk kuota  beri  batas bukankah benar  bank internasional  sedia kuota per hari,Negative
https://lh3.googleusercontent.com/a-/ALV-UjULEnM1RmUvshLKuDeaM5-BIV9lwslaOgnTuDn8ShQdAFcDcQBG=w72-h72-p-rp-mo-br100,Adhitya Cahyo,14 reviews Â· 2 photos,4 years ago,"The teller said harshly, ""trash"".
Mostly huddle. There is no ethics with customers. If I were a branch head, I would just ""cut"" it. â¦",BNI UKSW,the teller said harshly trash mostly huddle there is no ethics with customers if i were a branch head i would just cut it,Teller mengatakan sampah yang keras kebanyakan kerumunan tidak ada etika dengan pelanggan jika saya adalah kepala cabang saya hanya akan memotongnya,"['teller', 'kata', 'sampah', '', 'keras', 'banyak', 'kerumun', '', '', 'etika', '', 'langgan', '', '', '', 'kepala', 'cabang', '', '', '', 'potong']",teller kata sampah  keras banyak kerumun   etika  langgan    kepala cabang    potong,Negative
https://lh3.googleusercontent.com/a-/ALV-UjWR3fBIjDiUM0i74wgrGVe9nB1QwyFDcj-XHx8SUNqshDqYeXY=w72-h72-p-rp-mo-br100,Marten Limu,1 review,3 years ago,"Queue from morning to evening... queue number 20 but can't be served by what kind of branch? There are a lot of security guards, only 1 CS... ðð the service doesn't increase, there are a lot of security guards... brains â¦",BNI UKSW,queue from morning to evening queue number but cant be served by what kind of branch there are a lot of security guards only cs   the service doesnt increase there are a lot of security guards brains,antrian dari pagi hingga sore antrian nomor tetapi tidak dapat dilayani oleh cabang seperti apa ada banyak penjaga keamanan hanya CS layanan tidak meningkat ada banyak otak penjaga keamanan otak,"['antri', '', 'pagi', 'hingga', 'sore', 'antri', 'nomor', '', '', '', 'layan', '', 'cabang', '', 'apa', '', 'banyak', 'jaga', 'aman', '', 'cs', 'layan', '', 'tingkat', '', 'banyak', 'otak', 'jaga', 'aman', 'otak']",antri  pagi hingga sore antri nomor    layan  cabang  apa  banyak jaga aman  cs layan  tingkat  banyak otak jaga aman otak,Negative
https://lh3.googleusercontent.com/a-/ALV-UjX--gqWScZMXfu8rrb3BYPnpLA_WrOoX32dRUHxh7O3jpIWwbGFog=w72-h72-p-rp-mo-ba3-br100,Haryati Aidha Budhiarti,Local Guide Â· 41 reviews Â· 28 photos,3 years ago,"It's really bad. The queue is super big. Whatever branch you want, you can bring it too. The employees are slow at chatting and acting out. Priority customers come straight in without queuing, but apart from us, who have been queuing since â¦",BNI UKSW,its really bad the queue is super big whatever branch you want you can bring it too the employees are slow at chatting and acting out priority customers come straight in without queuing but apart from us who have been queuing since,"Sungguh buruk antriannya sangat besar, cabang apa pun yang Anda inginkan, Anda juga bisa membawanya, para karyawannya lambat mengobrol dan memerankan prioritas pelanggan langsung tanpa mengantri tetapi selain dari kami yang telah mengantri sejak itu","['sungguh', 'buruk', 'antri', 'sangat', 'besar', 'cabang', 'apa', '', '', 'anda', 'ingin', 'anda', '', '', 'bawa', '', 'karyawannya', 'lambat', 'obrol', '', 'peran', 'prioritas', 'langgan', 'langsung', '', 'antri', '', '', '', '', '', '', 'antri', 'sejak', '']",sungguh buruk antri sangat besar cabang apa   anda ingin anda   bawa  karyawannya lambat obrol  peran prioritas langgan langsung  antri       antri sejak ,Negative
https://lh3.googleusercontent.com/a-/ALV-UjUQ_7S8C-zFOihn6Co93thPM5mU2mjB4rGYFOvdOcQKWv8VFB1o=w72-h72-p-rp-mo-br100,guntar guntar (guntar gun),3 reviews Â· 3 photos,3 years ago,"There are quite a lot of customers but unfortunately we can't afford the salary of only 2 Customer Service people. So the service is very slow, bad, very worrying compared to similar banks. Please improve the service",BNI UKSW,there are quite a lot of customers but unfortunately we cant afford the salary of only customer service people so the service is very slow bad very worrying compared to similar banks please improve the service,"Ada cukup banyak pelanggan tetapi sayangnya kami tidak mampu memberikan gaji hanya orang layanan pelanggan sehingga layanan ini sangat lambat sangat mengkhawatirkan dibandingkan dengan bank serupa, tolong tingkatkan layanan","['ada', 'cukup', 'banyak', 'langgan', '', 'sayang', '', '', 'mampu', 'beri', 'gaji', '', 'orang', 'layan', 'langgan', '', 'layan', '', 'sangat', 'lambat', 'sangat', 'khawatir', 'banding', '', 'bank', 'rupa', '', 'tingkat', 'layan']",ada cukup banyak langgan  sayang   mampu beri gaji  orang layan langgan  layan  sangat lambat sangat khawatir banding  bank rupa  tingkat layan,Negative
https://lh3.googleusercontent.com/a-/ALV-UjVBdg8HD06D6uvrqffDLm_T6EnrkX9rb75CFttQVc8LWwdByszo=w72-h72-p-rp-mo-ba6-br100,David Pesudo,Local Guide Â· 681 reviews Â· 982 photos,a year ago,nice,Direktorat Kealumnian dan Karir UKSW,nice,Bagus,['bagus'],bagus,Positive
https://lh3.googleusercontent.com/a/ACg8ocJ7SBx5c0F8z0zB2M_dnU97QusZHS5QuX3_Gi8QlbLM8BCkGQ=w72-h72-p-rp-mo-ba4-br100,Valerie Aiko,Local Guide Â· 143 reviews Â· 82 photos,2 years ago,chosen for the future,Direktorat Kealumnian dan Karir UKSW,chosen for the future,dipilih untuk masa depan,"['pilih', '', 'masa', 'depan']",pilih  masa depan,Neutral
https://lh3.googleusercontent.com/a-/ALV-UjXnKU-t884uyvG0JgZnlcgJFEhGDg4-F9xQm04NL0_6-vwbv7b9=w72-h72-p-rp-mo-br100,marshaluneta,5 reviews Â· 8 photos,5 months ago,"International Office of UKSW, the staff are very helpful and friendly! ð¤© â¦",Direktorat Kemitraan UKSW,international office of uksw the staff are very helpful and friendly,Kantor Internasional UKSW Staf sangat membantu dan ramah,"['kantor', 'internasional', 'uksw', 'staf', 'sangat', 'bantu', '', 'ramah']",kantor internasional uksw staf sangat bantu  ramah,Positive
https://lh3.googleusercontent.com/a-/ALV-UjVBdg8HD06D6uvrqffDLm_T6EnrkX9rb75CFttQVc8LWwdByszo=w72-h72-p-rp-mo-ba6-br100,David Pesudo,Local Guide Â· 681 reviews Â· 982 photos,a year ago,Nice,Direktorat Kemitraan UKSW,nice,Bagus,['bagus'],bagus,Positive
https://maps.app.goo.gl/mquu8TgpfmQaCA2a6,David Pesudo,Local Guide Â· 9 reviews Â· 3 photos,a year ago,Nice,Fakultas Pertanian UKSW,nice,Bagus,['bagus'],bagus,Positive
https://lh3.googleusercontent.com/a-/ALV-UjW_2hIMYUb97DANHOQjeripzi0INPHsZrjaiX_Atx5LDgdhqK8=w72-h72-p-rp-mo-ba6-br100,Todo Sibuea,"Local Guide Â· 380 reviews Â· 1,603 photos",2 years ago,"It has good facilities for holding a seminars or conferences. Mind you, I'm not a student of UKSW. So, I can't comment much about quality of education provided by the campus.",Fakultas Bahasa dan Seni UKSW,it has good facilities for holding a seminars or conferences mind you im not a student of uksw so i cant comment much about quality of education provided by the campus,Ini memiliki fasilitas yang baik untuk mengadakan seminar atau konferensi pikiran Anda bukan siswa UKSW jadi saya tidak bisa berkomentar banyak tentang kualitas pendidikan yang disediakan oleh kampus,"['ini', 'milik', 'fasilitas', '', 'baik', '', 'ada', 'seminar', '', 'konferensi', 'pikir', 'anda', 'bukan', 'siswa', 'uksw', 'jadi', '', '', '', 'komentar', 'banyak', '', 'kualitas', 'didik', '', 'sedia', '', 'kampus']",ini milik fasilitas  baik  ada seminar  konferensi pikir anda bukan siswa uksw jadi    komentar banyak  kualitas didik  sedia  kampus,Neutral
https://lh3.googleusercontent.com/a-/ALV-UjV2Kqg3hVhxqVzTyp6DwoV7H2bQX95ZXUxjNwxwRW_4jy7PHks=w72-h72-p-rp-mo-ba3-br100,Peter Hartanto,Local Guide Â· 48 reviews Â· 31 photos,7 years ago,Part of UKSW campuses in Kartini st. Office of Faculty of Language and Art (FLL) and FKIK are here.,Fakultas Bahasa dan Seni UKSW,part of uksw campuses in kartini st office of faculty of language and art fll and fkik are here,bagian dari kampus UKSW di Kantor Kartini Fakultas Bahasa dan Seni FLL dan FKIK ada di sini,"['bagi', '', 'kampus', 'uksw', '', 'kantor', 'kartini', 'fakultas', 'bahasa', '', 'seni', 'fll', '', 'fkik', '', '', 'sini']",bagi  kampus uksw  kantor kartini fakultas bahasa  seni fll  fkik   sini,Neutral
https://lh3.googleusercontent.com/a/ACg8ocJQq_3AGZkFUyyk4pUX3vSWmFxMnnHED--icDG_BtsK0VOWpg=w72-h72-p-rp-mo-ba4-br100,Rudy Siswanto,Local Guide Â· 113 reviews,a year ago,Well,Fakultas Bahasa dan Seni UKSW,well,Sehat,['sehat'],sehat,Positive
https://lh3.googleusercontent.com/a-/ALV-UjUdRP3afoOuMpLEtCKq9rBZ2m7JKDVsMS4X67wu4l9zH0tIY11s=w72-h72-p-rp-mo-ba5-br100,Natalia,"Local Guide Â· 210 reviews Â· 1,113 photos",a year ago,Part of Satya Wacana Christian University. The place is very clean and tidy.,Fakultas Bahasa dan Seni UKSW,part of satya wacana christian university the place is very clean and tidy,Bagian dari Universitas Kristen Satya Wacana Tempat ini sangat bersih dan rapi,"['bagi', '', 'universitas', 'kristen', 'satya', 'wacana', 'tempat', '', 'sangat', 'bersih', '', 'rapi']",bagi  universitas kristen satya wacana tempat  sangat bersih  rapi,Positive
https://lh3.googleusercontent.com/a-/ALV-UjXoAH7oHvLOZ0c5L51-YGP9JQTlsmcvw6-1Ar97iySc0s4_u7cDzQ=w72-h72-p-rp-mo-ba6-br100,andin af,"Local Guide Â· 216 reviews Â· 1,698 photos",2 years ago,"The building is new, the lecturers and staff are very friendly, especially when parents meet, the food is always full and the staff are very busy. The Faculty of Languages ââand Arts with three Study Programs: English Language Education â¦",Fakultas Bahasa dan Seni UKSW,the building is new the lecturers and staff are very friendly especially when parents meet the food is always full and the staff are very busy the faculty of languages and arts with three study programs english language education,"Bangunan ini baru, dosen dan staf sangat ramah terutama ketika orang tua bertemu makanan selalu penuh dan stafnya sangat sibuk fakultas bahasa dan seni dengan tiga program studi pendidikan bahasa Inggris","['bangun', '', 'baru', 'dosen', '', 'staf', 'sangat', 'ramah', 'utama', '', 'orang', 'tua', 'temu', 'makan', 'selalu', 'penuh', '', 'staf', 'sangat', 'sibuk', 'fakultas', 'bahasa', '', 'seni', '', 'tiga', 'program', 'studi', 'didik', 'bahasa', 'inggris']",bangun  baru dosen  staf sangat ramah utama  orang tua temu makan selalu penuh  staf sangat sibuk fakultas bahasa  seni  tiga program studi didik bahasa inggris,Negative
https://lh3.googleusercontent.com/a/ACg8ocL1YI8RmDmOgsEwPuZInYf-aW9sTtZa2n1gnoAotJJLjqHcxQ=w72-h72-p-rp-mo-ba5-br100,Prassetyo Tjepoe,Local Guide Â· 200 reviews Â· 609 photos,5 years ago,"Previously it was called STiBA-SW. Established in 1998. The classrooms are still in the old building at the back. At the end of the period, a new building was built. And now there is building development after purchasing part of the land from Hotel Maya.",Fakultas Bahasa dan Seni UKSW,previously it was called stibasw established in the classrooms are still in the old building at the back at the end of the period a new building was built and now there is building development after purchasing part of the land from hotel maya,Sebelumnya disebut Stibasw yang didirikan di ruang kelas masih ada di gedung lama di belakang pada akhir periode bangunan baru dibangun dan sekarang ada pengembangan bangunan setelah membeli sebagian tanah dari hotel maya,"['belum', 'sebut', 'stibasw', '', 'diri', '', 'ruang', 'kelas', '', '', '', 'gedung', 'lama', '', 'belakang', '', 'akhir', 'periode', 'bangun', 'baru', 'bangun', '', 'sekarang', '', 'kembang', 'bangun', '', 'beli', 'bagi', 'tanah', '', 'hotel', 'maya']",belum sebut stibasw  diri  ruang kelas    gedung lama  belakang  akhir periode bangun baru bangun  sekarang  kembang bangun  beli bagi tanah  hotel maya,Negative
https://lh3.googleusercontent.com/a/ACg8ocIQPL18IFMTcj30WqLxXFhTMpSUP4OnFJIE5gH0DnsG93Lmng=w72-h72-p-rp-mo-ba8-br100,isywara puraya,"Local Guide Â· 741 reviews Â· 18,575 photos",8 years ago,The one that is permanently closed is STIBA. Now used for the UKSW Faculty of Languages ââand Literature. Just inaugurated. Part of it (west part) is used for the YPTKSW foundation office.,Fakultas Bahasa dan Seni UKSW,the one that is permanently closed is stiba now used for the uksw faculty of languages and literature just inaugurated part of it west part is used for the yptksw foundation office,Yang ditutup secara permanen adalah STIBA sekarang digunakan untuk Fakultas Bahasa dan Sastra UKSW yang hanya diresmikan sebagian dari IT West Part digunakan untuk Kantor Yayasan YPTKSW,"['yang', 'tutup', '', 'permanen', '', 'stiba', 'sekarang', 'guna', '', 'fakultas', 'bahasa', '', 'sastra', 'uksw', '', '', 'resmi', 'bagi', '', 'west', 'part', 'guna', '', 'kantor', 'yayasan', 'yptksw']",yang tutup  permanen  stiba sekarang guna  fakultas bahasa  sastra uksw   resmi bagi  west part guna  kantor yayasan yptksw,Neutral
https://lh3.googleusercontent.com/a-/ALV-UjVNnjKuSZvh4F3qBRChUWWdrfuTtDeMxgkGcBXBP1neuJWiGs6a=w72-h72-p-rp-mo-br100,Dimas Purnama Adi Wicaksono,11 reviews Â· 1 photo,2 years ago,"The faculty building is nice, the place is clean, the security guards/officers are also friendly.",Fakultas Bahasa dan Seni UKSW,the faculty building is nice the place is clean the security guardsofficers are also friendly,"Bangunan fakultas bagus tempat ini bersih, para penjaga keamanan juga ramah","['bangun', 'fakultas', 'bagus', 'tempat', '', 'bersih', '', 'jaga', 'aman', '', 'ramah']",bangun fakultas bagus tempat  bersih  jaga aman  ramah,Positive
https://lh3.googleusercontent.com/a-/ALV-UjUf0C6hCS3-08ScNbEVRmyP3qtdvPNmOyjmUmpMJLBsvphpA8x5=w72-h72-p-rp-mo-ba6-br100,Kukuh Pambuka Putra,"Local Guide Â· 368 reviews Â· 1,301 photos",7 years ago,One of UKSW's new buildings. Comfortable atmosphere.,Fakultas Bahasa dan Seni UKSW,one of uksws new buildings comfortable atmosphere,Salah satu bangunan baru UKSWS Suasana nyaman,"['salah', 'satu', 'bangun', 'baru', 'uksws', 'suasana', 'nyaman']",salah satu bangun baru uksws suasana nyaman,Positive
https://lh3.googleusercontent.com/a/ACg8ocJRqJNOtjVnn8UmWvjtSuovakPt-QxQppMCoOHFgQe_slBnDQ=w72-h72-p-rp-mo-ba4-br100,Kis Wono,Local Guide Â· 99 reviews Â· 189 photos,2 years ago,In the center of Salatiga city,Fakultas Bahasa dan Seni UKSW,in the center of salatiga city,Di pusat kota Salatiga,"['di', 'pusat', 'kota', 'salatiga']",di pusat kota salatiga,Neutral
https://lh3.googleusercontent.com/a-/ALV-UjXbSv-2qKWtLGIzWT4b_AyGIhZWFgOgiDyB7f4ne9d_i2D74wEC=w72-h72-p-rp-mo-ba4-br100,arum wahyuningsih,Local Guide Â· 60 reviews Â· 7 photos,6 years ago,"The place is clean, comfortable, the people are also friendly",Fakultas Bahasa dan Seni UKSW,the place is clean comfortable the people are also friendly,"Tempatnya bersih nyaman, orang -orang juga ramah","['tempat', 'bersih', 'nyaman', 'orang', '-orang', '', 'ramah']",tempat bersih nyaman orang -orang  ramah,Positive
https://lh3.googleusercontent.com/a-/ALV-UjXgcfOHVAtqnOhgXC35nTV79p-cWLLuOgPpubcYWqyx5TnWQ6xr=w72-h72-p-rp-mo-ba5-br100,Ayoungvet 13,Local Guide Â· 178 reviews Â· 670 photos,6 years ago,Close to shops....,Fakultas Bahasa dan Seni UKSW,close to shops,dekat dengan toko,"['dekat', '', 'toko']",dekat  toko,Positive
https://lh3.googleusercontent.com/a-/ALV-UjUohJ35ZFrYY7dT4g51wQCO8AGv25x4tcKTY2b2pHgMYwKQRLX2=w72-h72-p-rp-mo-br100,Priyo Witanto,1 review,5 years ago,The students are beautiful,Fakultas Bahasa dan Seni UKSW,the students are beautiful,Para siswa cantik,"['para', 'siswa', 'cantik']",para siswa cantik,Positive
https://lh3.googleusercontent.com/a-/ALV-UjXlxZCg8A4aUoj3Phjj7VkeNbKiH8YOqo76x28Z_q_Y0imT12I=w72-h72-p-rp-mo-ba5-br100,Banyu Ibrahim,Local Guide Â· 171 reviews Â· 56 photos,3 years ago,Best,Fakultas Bahasa dan Seni UKSW,best,terbaik,['baik'],baik,Positive
https://lh3.googleusercontent.com/a-/ALV-UjWY815gKw1u_CdKuR2jnby64_UPDvhk3Dw35VT8RV7vKppQKwb3=w72-h72-p-rp-mo-ba6-br100,Ratih Widhiyandari,"Local Guide Â· 608 reviews Â· 1,570 photos",5 years ago,That's goodðð â¦,Fakultas Bahasa dan Seni UKSW,thats good,itu bagus,"['', 'bagus']", bagus,Positive
https://lh3.googleusercontent.com/a-/ALV-UjVGoqOxny7VaeaZnglYpqyObyvbNWvLKctJQDvuCJyT6bWile5a=w72-h72-p-rp-mo-ba6-br100,HadiArtomo,"Local Guide Â· 386 reviews Â· 5,016 photos",2 years ago,Comfortable campus in Salatiga,Fakultas Bahasa dan Seni UKSW,comfortable campus in salatiga,comfortable campus in salatiga,"['comfortable', 'campus', 'salatiga']",comfortable campus salatiga,Positive
https://lh3.googleusercontent.com/a-/ALV-UjVqUqOYWM8nTfmL2q5Cfr4ccdVt4MqoWrGMnYTKtnGaeQpPBnj7=w72-h72-p-rp-mo-ba4-br100,Dhani Brahmantoro,Local Guide Â· 171 reviews Â· 214 photos,4 years ago,Learn humanist language,Fakultas Bahasa dan Seni UKSW,learn humanist language,belajar bahasa humanis,"['ajar', 'bahasa', 'humanis']",ajar bahasa humanis,Positive
https://lh3.googleusercontent.com/a/ACg8ocLW7X8ZOtvSzK-sMARjVR34hKs9G9qDn66FrueHoHBvh1X3pw=w72-h72-p-rp-mo-ba4-br100,Yudhi Bagong,Local Guide Â· 115 reviews Â· 7 photos,3 years ago,Excellent,Fakultas Bahasa dan Seni UKSW,excellent,bagus sekali,"['bagus', 'sekali']",bagus sekali,Positive
